Nombre de la Unidad Económica,Nombre de clase de la actividad,Latitud,Longitud
ITALIAN COFFEE,Servicios de preparación de alimentos en unidades móviles,19.00103714,-98.20163363
JUGOS Y TORTAS SAN JUAN,Restaurantes con servicio de preparación de tacos y tortas,19.00796281,-98.20416892
LA COCINA DE MATEO,Restaurantes que preparan otro tipo de alimentos para llevar,19.00620458,-98.20050635
LA CORCHOLATA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,19.00696769,-98.20703006
LOBO LUNCH,Servicios de preparación de alimentos en unidades móviles,19.0038338,-98.201039
MAKIZEN SUSHI,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,19.00638199,-98.20109058
MALTEADAS TAPIOCA BUBA EXPRESS,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",19.00461085,-98.20150882
MEMELAS Y QUESADILLAS SIN NOMBRE,Restaurantes con servicio de preparación de antojitos,19.00583413,-98.20661322
MIXIOTES ESTILO HIDALGO,Restaurantes con servicio de preparación de tacos y tortas,19.0001781,-98.20474267
MOLOTES BRISSA,Restaurantes con servicio de preparación de antojitos,19.00647924,-98.20459307
OLIVETTOS PIZZA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",19.00209376,-98.20815426
PIZZERIA,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",19.00581316,-98.20297158
POLLO FELIZ SAN MANUEL,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",19.00773912,-98.20378035
POZOLERIA Y ANTOJITOS LAS DELICIAS,Restaurantes con servicio de preparación de antojitos,19.00776197,-98.20467702
RESTAURANTE ATBRINCONCITO OAXAQUEÑO,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,19.00645133,-98.20028072
RESTAURANTE BAR LA BURRA NEGRA,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,19.00690379,-98.20418982
RESTAURANTE BIRRIA LA QUE TE CURA,Restaurantes con servicio de preparación de antojitos,19.00774428,-98.20460761
RESTAURANTE BRENERIK,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,19.00639825,-98.20014094
RESTAURANTE LA CASA DEL DANES,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,19.00797003,-98.2051519
TACOMAYA,Restaurantes con servicio de preparación de tacos y tortas,19.0065765,-98.20062067
